"Species","Date","Site","Plant","Flower","Stigma","Pollen","Obs_count","Notes","Flower_height","N_flowers","D1","D2","D3","D4","D5","Obs_field"
"Rumex acetosella",2021-06-09,"KMW","F16",1,2,9,"Claire","",8,70,38,56,40,35,60,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F16",1,3,0,"Claire","",8,70,38,56,40,35,60,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F16",2,1,0,"Claire","",8,70,38,56,40,35,60,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F16",2,2,4,"Claire","",8,70,38,56,40,35,60,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F16",2,3,2,"Claire","",8,70,38,56,40,35,60,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F17",1,1,0,"Claire","",10.5,40,22,18,72,75,40,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F17",1,2,2,"Claire","",10.5,40,22,18,72,75,40,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F17",1,3,1,"Claire","",10.5,40,22,18,72,75,40,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F17",2,1,2,"Claire","",10.5,40,22,18,72,75,40,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F17",2,2,1,"Claire","",10.5,40,22,18,72,75,40,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F17",2,3,1,"Claire","",10.5,40,22,18,72,75,40,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F20",1,1,4,"Claire","",22,465,27,36,34,29,53,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F20",1,2,1,"Claire","",22,465,27,36,34,29,53,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F20",1,3,0,"Claire","",22,465,27,36,34,29,53,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F20",2,1,1,"Claire","",22,465,27,36,34,29,53,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F20",2,2,2,"Claire","",22,465,27,36,34,29,53,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F20",2,3,1,"Claire","",22,465,27,36,34,29,53,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F1",1,1,3,"Claire","",13.2,750,28,42,46,63,36,"Claire"
"Rumex acetosella",2021-06-09,"KMW","F1",1,2,3,"Claire","",13.2,750,28,42,46,63,36,"Claire"
"Rumex acetosella",2021-06-09,"KMW","F1",1,3,1,"Claire","",13.2,750,28,42,46,63,36,"Claire"
"Rumex acetosella",2021-06-09,"KMW","F1",2,1,0,"Claire","",13.2,750,28,42,46,63,36,"Claire"
"Rumex acetosella",2021-06-09,"KMW","F1",2,2,2,"Claire","",13.2,750,28,42,46,63,36,"Claire"
